agent,title,date,url,attachment_url,attachment_name,attachment_webfile_id,attachment_times
1035,关于召开2021-2022学年秋季学期期末本科教学工作会议的通知-福州大学教务处,2021-12-28,https://jwch.fzu.edu.cn/info/1035/11782.htm,,,,
1035,关于2021-2022学年第一学期本科生学生证和火车票优惠卡补办及火车票优惠卡更改区间的通知-福州大学教务处,2021-11-29,https://jwch.fzu.edu.cn/info/1035/11684.htm,,,,
1035,关于更改全省本科教育管理人员视频培训班地点的通知-福州大学教务处,2021-11-15,https://jwch.fzu.edu.cn/info/1035/11634.htm,,,,
1035,关于组织参加全省本科教育管理人员视频培训班的通知-福州大学教务处,2021-11-12,https://jwch.fzu.edu.cn/info/1035/11624.htm,,,,
1035,关于2021级福州大学本科生学生证信息采集的通知-福州大学教务处,2021-09-09,https://jwch.fzu.edu.cn/info/1035/10777.htm,,,,
1035,关于2021-2022学年第一学期本科生学生证和火车票优惠卡补办及火车票优惠卡更改区间的通知-福州大学教务处,2021-08-30,https://jwch.fzu.edu.cn/info/1035/10775.htm,,,,
1035,教务处关于2021年暑假工作安排的通知-福州大学教务处,2021-07-09,https://jwch.fzu.edu.cn/info/1035/10773.htm,,,,
1035,关于做好2021-2022学年 第一学期教材选用及征订工作的通知-福州大学教务处,2021-06-02,https://jwch.fzu.edu.cn/info/1035/7301.htm,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7605009,附件4：2021年秋季全国大中专教材用书汇编数据-仅出版社.xlsx,7605009,951
1035,关于做好2021-2022学年 第一学期教材选用及征订工作的通知-福州大学教务处,2021-06-02,https://jwch.fzu.edu.cn/info/1035/7301.htm,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7605008,附件1：福州大学教材选用与供应管理办法（福大教【2020】22号）.docx,7605008,1015
1035,关于做好2021-2022学年 第一学期教材选用及征订工作的通知-福州大学教务处,2021-06-02,https://jwch.fzu.edu.cn/info/1035/7301.htm,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7605006,附件2：教育部办公厅关于加强高等学校使用外国教材管理的通知.docx,7605006,977
1035,关于做好2021-2022学年 第一学期教材选用及征订工作的通知-福州大学教务处,2021-06-02,https://jwch.fzu.edu.cn/info/1035/7301.htm,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7605007,附件3：已出版马克思主义理论研究和建设工程重点教材目录（截至2021年06月，共计99种）.xlsx,7605007,916
1035,关于2020-2021学年第二学期本科生学生证和火车票优惠卡补办及火车票优惠卡更改区间的通知-福州大学教务处,2021-06-02,https://jwch.fzu.edu.cn/info/1035/7297.htm,,,,
1035,关于2021年全国大学生英语竞赛获奖名单的通知-福州大学教务处,2021-05-10,https://jwch.fzu.edu.cn/info/1035/7296.htm,,,,
1035,关于2021 年全国大学生英语竞赛初赛参赛通知-福州大学教务处,2021-04-21,https://jwch.fzu.edu.cn/info/1035/11525.htm,,,,
1035,关于组织参加教育部高教司2021年全国高教处长视频会议的通知-福州大学教务处,2021-03-26,https://jwch.fzu.edu.cn/info/1035/7293.htm,,,,
1035,关于2020-2021学年第二学期本科生学生证补办的通知-福州大学教务处,2021-03-23,https://jwch.fzu.edu.cn/info/1035/7292.htm,,,,
1035,关于召开福州大学2020-2021学年春季学期期初本科教学工作会议的通知-福州大学教务处,2021-03-17,https://jwch.fzu.edu.cn/info/1035/7291.htm,,,,
1035,教务处关于2021年寒假工作安排的通知-福州大学教务处,2021-01-18,https://jwch.fzu.edu.cn/info/1035/7289.htm,,,,
1035,关于评选2020年优秀教学管理人员的通知-福州大学教务处,2021-01-05,https://jwch.fzu.edu.cn/info/1035/11519.htm,,,,
1035,关于召开福州大学2020-2021学年秋季学期 期末教学工作会议的通知-福州大学教务处,2021-01-05,https://jwch.fzu.edu.cn/info/1035/7287.htm,,,,
1035,关于评选2020年优秀教学管理人员的通知-福州大学教务处,2021-01-05,https://jwch.fzu.edu.cn/info/1035/7284.htm,,,,
1035,关于报送各学院2020年教学工作总结和2021年教学工作计划的通知-福州大学教务处,2020-12-04,https://jwch.fzu.edu.cn/info/1035/7280.htm,,,,
1035,关于收看新文科建设工作视频会议的通知-福州大学教务处,2020-10-29,https://jwch.fzu.edu.cn/info/1035/7276.htm,,,,
1035,关于组织参加全省本科教育管理人员视频培训班的通知-福州大学教务处,2020-10-21,https://jwch.fzu.edu.cn/info/1035/7274.htm,,,,
1035,关于更改2020-2021学年秋季学期期初本科教学工作会议时间的通知-福州大学教务处,2020-09-27,https://jwch.fzu.edu.cn/info/1035/7270.htm,,,,
1035,关于2020级福州大学本科生学生证信息采集的通知-福州大学教务处,2020-09-27,https://jwch.fzu.edu.cn/info/1035/7272.htm,,,,
1035,关于更改2020-2021学年秋季学期期初本科教学工作会议时间的通知-福州大学教务处,2020-09-27,https://jwch.fzu.edu.cn/info/1035/11514.htm,,,,
1035,关于召开2020-2021学年秋季学期期初本科教学工作会议的通知-福州大学教务处,2020-09-25,https://jwch.fzu.edu.cn/info/1035/7268.htm,,,,
1035,关于2020-2021学年本科生学生证补办的通知-福州大学教务处,2020-09-15,https://jwch.fzu.edu.cn/info/1035/7266.htm,,,,
1035,教务处关于2020年暑假用印安排的通知-福州大学教务处,2020-07-09,https://jwch.fzu.edu.cn/info/1035/7263.htm,,,,
1035,2020年春季学期毕业班补考安排工作方案-福州大学教务处,2020-05-02,https://jwch.fzu.edu.cn/info/1035/7260.htm,,,,
1035,关于知识产权与信息素养讲座第284讲报名的通知-福州大学教务处,2020-04-29,https://jwch.fzu.edu.cn/info/1035/7257.htm,,,,
1035,关于知识产权与信息素养讲座第283讲报名的通知-福州大学教务处,2020-04-22,https://jwch.fzu.edu.cn/info/1035/7356.htm,,,,
1035,关于知识产权与信息素养讲座第282讲报名的通知-福州大学教务处,2020-04-15,https://jwch.fzu.edu.cn/info/1035/7355.htm,,,,
1035,关于知识产权与信息素养讲座第281讲报名的通知-福州大学教务处,2020-04-08,https://jwch.fzu.edu.cn/info/1035/7352.htm,,,,
1035,关于召开2019-2020学年春季学期本科教学工作会议的通知-福州大学教务处,2020-04-07,https://jwch.fzu.edu.cn/info/1035/11545.htm,,,,
